epoch,train_loss,auc,acc,f1
1,1.1668074289957682,0.7639702690972222,0.875,0.3548387096774194
2,0.9819986164569855,0.7820366753472222,0.8859375,0.3652173913043478
3,0.8848863040407499,0.848415798611111,0.79375,0.4107142857142857
4,0.7883165895938873,0.8323838975694444,0.7671875,0.3817427385892116
5,0.6957586879531542,0.8144531249999999,0.8390625,0.4114285714285714
6,0.611172890663147,0.8681369357638888,0.79375,0.4260869565217391
7,0.578603055079778,0.8194986979166666,0.8859375,0.5034013605442177
8,0.4920140201846758,0.8483072916666667,0.8875,0.5
9,0.46000691975156466,0.8520779079861112,0.825,0.44
10,0.37556805859009423,0.8527018229166666,0.9078125,0.549618320610687
11,0.38552158574263257,0.8409830729166667,0.865625,0.49411764705882355
12,0.3510589654246966,0.8344184027777778,0.88125,0.49333333333333335
13,0.27841964848339557,0.8464355468750001,0.884375,0.5256410256410257
14,0.24716822107632955,0.8527018229166666,0.8734375,0.5149700598802395
15,0.23113788664340973,0.8454589843749999,0.9,0.5492957746478874
16,0.19033858434607584,0.8454318576388888,0.9046875,0.5547445255474452
17,0.1833744882295529,0.8462185329861112,0.9015625,0.5333333333333333
18,0.17092878123124441,0.8466796875,0.9015625,0.5401459854014599
19,0.2295013250783086,0.8499620225694444,0.90625,0.5522388059701493
20,0.17189068235456945,0.8495822482638888,0.9046875,0.5481481481481482
