epoch,train_loss,auc,acc,f1
1,1.0685243199268977,0.823269314236111,0.878125,0.47297297297297297
2,0.859424601495266,0.8665093315972222,0.9078125,0.556390977443609
3,0.7438795069853464,0.88623046875,0.628125,0.32386363636363635
4,0.6533450191219647,0.8519694010416666,0.815625,0.4158415841584158
5,0.6507812147339185,0.8854166666666666,0.853125,0.4659090909090909
6,0.5014654226601124,0.8300238715277778,0.696875,0.34459459459459457
7,0.46624715626239777,0.8630099826388888,0.7890625,0.4
8,0.3615260232239962,0.8672960069444444,0.8953125,0.524822695035461
9,0.34816126972436906,0.8360460069444444,0.88125,0.4864864864864865
10,0.35790239249666533,0.8507486979166667,0.9265625,0.5982905982905983
11,0.24522823002189398,0.8814290364583334,0.871875,0.5176470588235295
12,0.19109341632574797,0.8797743055555556,0.890625,0.5070422535211268
13,0.20263293404132127,0.86767578125,0.9015625,0.5467625899280576
14,0.09550866940990091,0.892795138888889,0.91875,0.6060606060606061
15,0.10679239292318622,0.8932020399305556,0.9203125,0.6046511627906976
16,0.12524659891302387,0.8860948350694444,0.9265625,0.6356589147286822
17,0.09245321207369367,0.8803439670138888,0.9265625,0.6299212598425197
18,0.07131127833078305,0.8836805555555555,0.9203125,0.6106870229007634
19,0.057256602713217336,0.8839246961805556,0.93125,0.639344262295082
20,0.057396564011772476,0.8830566406249999,0.9265625,0.6178861788617886
